name,x,y
,130.1961,-113.6937,10.5833
,130.1961,-113.6937,10.5833
,139.0155,-104.8743,10.5833
,139.0155,-104.8743,10.5855
,139.0155,-104.8743,10.586
,139.0155,-104.8743,10.5841
,158.402,-79.5757,10.5834
,139.0155,-104.8743,10.5851
,139.0155,-104.8743,10.5862
,149.5993,-92.3447,10.5842
,160.1835,-108.402,10.5842
,139.0155,-104.8743,10.5862
,139.0155,-104.8743,10.5851
,139.0155,-104.8743,10.5834
,160.1835,-134.8626,10.5841
,139.0155,-104.8743,10.586
,131.458,-88.5652,10.5855
,153.1103,-104.8743,10.5833
,122.9061,-99.5812,10.5855
,139.0155,-104.8743,10.586
,139.0155,-104.8743,10.5841
,144.3086,-115.8906,10.5834
,124.9044,-124.2779,10.5851
,139.0155,-146.0429,10.5862
,139.0155,-104.8743,10.5842
,188.7362,-129.5705,10.5842
,139.0155,-104.8743,10.5862
,139.0155,-104.8743,10.5851
,178.9183,-115.4576,10.5834
,139.0155,-104.8743,10.5841
,139.0155,-104.8743,10.586
,139.0155,-104.8743,10.5855
